epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.1955,0.5996,0.7256,0.8061,0.7961,0.7201,0.7256,0.0002
2,0.1603,0.6476,0.7654,0.8088,0.7146,0.8769,0.7654,0.0004
3,0.1462,0.7121,0.8181,0.8726,0.8677,0.8041,0.8181,0.0006
4,0.1401,0.7046,0.8133,0.8565,0.8088,0.8472,0.8133,0.0008
5,0.1459,0.6505,0.7561,0.8332,0.7677,0.8086,0.7561,0.001
6,0.1435,0.6784,0.7896,0.8517,0.8353,0.7823,0.7896,0.001
7,0.1342,0.6651,0.7843,0.8186,0.7397,0.872,0.7843,0.001
8,0.1226,0.6551,0.7639,0.8633,0.9329,0.6881,0.7639,0.000999
9,0.1089,0.6659,0.7846,0.8161,0.6975,0.9328,0.7846,0.000998
10,0.1139,0.6549,0.7771,0.7983,0.6848,0.9341,0.7771,0.000996
11,0.1149,0.6927,0.8073,0.8346,0.7349,0.9159,0.8073,0.000993
12,0.093,0.6887,0.7954,0.8409,0.739,0.8949,0.7954,0.00099
13,0.0921,0.7022,0.8113,0.8506,0.7641,0.8916,0.8113,0.000987
14,0.0927,0.7233,0.8264,0.8698,0.8079,0.8647,0.8264,0.000983
15,0.0792,0.7318,0.8343,0.8676,0.7999,0.8902,0.8343,0.000978
16,0.0732,0.7472,0.8444,0.8838,0.8323,0.8703,0.8444,0.000973
17,0.0681,0.7308,0.8298,0.8799,0.8608,0.8217,0.8298,0.000968
18,0.0686,0.7434,0.8408,0.8801,0.8305,0.869,0.8408,0.000962
19,0.0656,0.7249,0.8278,0.8732,0.8285,0.8458,0.8278,0.000955
20,0.0642,0.7364,0.837,0.8773,0.8499,0.8416,0.837,0.000948
21,0.0625,0.7006,0.8043,0.8729,0.8971,0.7567,0.8043,0.00094
22,0.0589,0.7269,0.8269,0.8745,0.8537,0.8226,0.8269,0.000932
23,0.0567,0.7352,0.8351,0.8787,0.8321,0.8529,0.8351,0.000924
24,0.0666,0.6911,0.8046,0.838,0.7404,0.9006,0.8046,0.000915
25,0.0993,0.6711,0.7841,0.8413,0.7669,0.8349,0.7841,0.000905
26,0.0718,0.6733,0.7877,0.8438,0.7985,0.8072,0.7877,0.000896
27,0.0625,0.6805,0.7926,0.854,0.8158,0.8069,0.7926,0.000885
28,0.0565,0.6975,0.8016,0.8537,0.8473,0.7938,0.8016,0.000875
29,0.0571,0.6731,0.7831,0.846,0.8386,0.7699,0.7831,0.000864
30,0.0523,0.69,0.801,0.8457,0.7758,0.8604,0.801,0.000852
31,0.0499,0.7189,0.824,0.866,0.8027,0.8659,0.824,0.00084
32,0.046,0.7285,0.8306,0.8731,0.8282,0.8527,0.8306,0.000828
33,0.0437,0.7155,0.823,0.8624,0.7979,0.8676,0.823,0.000815
34,0.0426,0.7327,0.8343,0.8744,0.8064,0.8783,0.8343,0.000803
35,0.0402,0.7353,0.8365,0.8761,0.8163,0.8727,0.8365,0.000789
36,0.0385,0.7353,0.836,0.8755,0.8237,0.8655,0.836,0.000776
37,0.0378,0.7245,0.826,0.8726,0.8431,0.8331,0.826,0.000762
38,0.0364,0.7294,0.8295,0.8774,0.8465,0.8344,0.8295,0.000748
39,0.0349,0.7264,0.8268,0.8724,0.8399,0.8358,0.8268,0.000733
40,0.0336,0.733,0.8332,0.8775,0.8424,0.841,0.8332,0.000719
41,0.0325,0.7297,0.8275,0.8766,0.8381,0.8402,0.8275,0.000704
42,0.0309,0.7398,0.8391,0.8787,0.8305,0.8634,0.8391,0.000689
43,0.0303,0.7187,0.8189,0.8718,0.8667,0.8003,0.8189,0.000673
44,0.0291,0.7351,0.8332,0.881,0.8495,0.8357,0.8332,0.000658
45,0.0271,0.7362,0.8358,0.8779,0.8326,0.8555,0.8358,0.000642
46,0.0269,0.7357,0.8363,0.8769,0.824,0.864,0.8363,0.000627
47,0.0263,0.7324,0.8334,0.8762,0.8334,0.85,0.8334,0.000611
48,0.0252,0.732,0.8334,0.8763,0.8316,0.8506,0.8334,0.000595
49,0.0245,0.7347,0.8348,0.8784,0.8216,0.8634,0.8348,0.000578
50,0.0236,0.7279,0.8302,0.8719,0.8293,0.8483,0.8302,0.000562
51,0.0234,0.7373,0.8371,0.8782,0.8182,0.8712,0.8371,0.000546
52,0.0228,0.7389,0.837,0.8821,0.8462,0.8436,0.837,0.00053
53,0.0215,0.7357,0.8349,0.8799,0.8387,0.8467,0.8349,0.000513
54,0.0216,0.7248,0.8246,0.8714,0.8399,0.8336,0.8246,0.000497
55,0.0211,0.7305,0.8325,0.8734,0.8132,0.8672,0.8325,0.00048
56,0.0202,0.7334,0.833,0.8767,0.8298,0.8529,0.833,0.000464
57,0.0201,0.7338,0.834,0.8763,0.8383,0.8464,0.834,0.000448
58,0.0205,0.729,0.8277,0.8769,0.8434,0.8358,0.8277,0.000432
59,0.0192,0.7353,0.8352,0.878,0.8293,0.8579,0.8352,0.000415
60,0.018,0.7357,0.8352,0.8788,0.8293,0.857,0.8352,0.000399
61,0.0174,0.7297,0.8302,0.8769,0.8343,0.8435,0.8302,0.000383
62,0.0175,0.7298,0.829,0.8768,0.8372,0.8425,0.829,0.000368
63,0.017,0.7287,0.8311,0.8735,0.8166,0.8615,0.8311,0.000352
64,0.0166,0.7288,0.8292,0.8758,0.8303,0.846,0.8292,0.000337
65,0.0161,0.7305,0.8307,0.8761,0.8323,0.8474,0.8307,0.000321
66,0.0162,0.7312,0.8326,0.8742,0.8161,0.8657,0.8326,0.000306
67,0.0156,0.7298,0.8307,0.8754,0.824,0.8544,0.8307,0.000291
68,0.0153,0.7319,0.8308,0.877,0.8341,0.8472,0.8308,0.000277
69,0.0148,0.7297,0.8299,0.8746,0.8344,0.8441,0.8299,0.000262
70,0.0146,0.7344,0.8335,0.8783,0.8297,0.8548,0.8335,0.000248
71,0.0142,0.7347,0.8333,0.8787,0.8368,0.8483,0.8333,0.000234
72,0.0141,0.7353,0.8345,0.8784,0.8252,0.8598,0.8345,0.000221
73,0.0142,0.7363,0.8348,0.8794,0.8336,0.8529,0.8348,0.000207
74,0.0141,0.733,0.8327,0.8774,0.8315,0.8507,0.8327,0.000195
75,0.0138,0.7325,0.8323,0.8766,0.825,0.8575,0.8323,0.000182
