epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2549,0.6453,0.7634,0.7965,0.6906,0.9019,0.7634,0.0002
2,0.2084,0.6772,0.7925,0.8295,0.7363,0.8894,0.7925,0.0004
3,0.1884,0.6681,0.7851,0.8214,0.7203,0.9011,0.7851,0.0006
4,0.1786,0.6805,0.7952,0.8346,0.7569,0.8733,0.7952,0.0008
5,0.1649,0.6945,0.805,0.8462,0.781,0.8586,0.805,0.001
6,0.1517,0.6713,0.7845,0.8359,0.8278,0.7763,0.7845,0.001
7,0.1494,0.7209,0.8243,0.8643,0.7867,0.8905,0.8243,0.001
8,0.137,0.693,0.7968,0.8481,0.7533,0.8782,0.7968,0.000999
9,0.1371,0.7078,0.8143,0.8552,0.7581,0.907,0.8143,0.000998
10,0.1216,0.7014,0.8113,0.849,0.7648,0.893,0.8113,0.000996
11,0.1305,0.7093,0.8149,0.8601,0.8101,0.8487,0.8149,0.000993
12,0.1156,0.6953,0.8041,0.8451,0.7485,0.9026,0.8041,0.00099
13,0.1166,0.7071,0.8162,0.8512,0.7539,0.914,0.8162,0.000987
14,0.118,0.7085,0.8117,0.8609,0.8253,0.8367,0.8117,0.000983
15,0.1108,0.7501,0.8446,0.8819,0.828,0.8813,0.8446,0.000978
16,0.1019,0.6843,0.7942,0.8526,0.8719,0.7585,0.7942,0.000973
17,0.1021,0.7466,0.8401,0.8822,0.8184,0.883,0.8401,0.000968
18,0.1063,0.675,0.7902,0.8296,0.7891,0.8329,0.7902,0.000962
19,0.1091,0.668,0.7859,0.819,0.7166,0.9086,0.7859,0.000955
20,0.1057,0.715,0.8148,0.8626,0.8756,0.7889,0.8148,0.000948
21,0.0978,0.7308,0.832,0.8698,0.8527,0.8285,0.832,0.00094
22,0.0984,0.6746,0.7872,0.8245,0.7157,0.9213,0.7872,0.000932
23,0.0925,0.6921,0.8013,0.8451,0.7745,0.8695,0.8013,0.000924
24,0.0922,0.715,0.8199,0.8609,0.7936,0.8771,0.8199,0.000915
25,0.0984,0.7229,0.8213,0.8751,0.8553,0.8133,0.8213,0.000905
26,0.0962,0.6672,0.7876,0.8117,0.6977,0.9342,0.7876,0.000896
27,0.0843,0.7167,0.8212,0.8656,0.8384,0.8286,0.8212,0.000885
28,0.0848,0.6917,0.8038,0.8418,0.7613,0.8811,0.8038,0.000875
29,0.0874,0.6402,0.7577,0.8186,0.8204,0.7489,0.7577,0.000864
30,0.0852,0.7288,0.8307,0.869,0.802,0.8823,0.8307,0.000852
31,0.0855,0.7389,0.8357,0.8745,0.797,0.8977,0.8357,0.00084
32,0.0832,0.7257,0.826,0.8649,0.8144,0.8584,0.826,0.000828
33,0.0838,0.6492,0.7716,0.798,0.7153,0.8887,0.7716,0.000815
34,0.0861,0.6943,0.8017,0.8512,0.7849,0.8587,0.8017,0.000803
35,0.0767,0.6677,0.7756,0.8345,0.8393,0.7696,0.7756,0.000789
36,0.0775,0.7258,0.8248,0.8698,0.8168,0.8613,0.8248,0.000776
37,0.074,0.6766,0.7849,0.8381,0.8285,0.7908,0.7849,0.000762
38,0.0739,0.6587,0.7699,0.832,0.8195,0.7759,0.7699,0.000748
39,0.0753,0.6891,0.797,0.8472,0.8306,0.8028,0.797,0.000733
40,0.0784,0.6832,0.7933,0.8356,0.7516,0.8878,0.7933,0.000719
41,0.0923,0.6831,0.7929,0.8491,0.8412,0.7825,0.7929,0.000704
42,0.075,0.7176,0.8239,0.8588,0.7867,0.8873,0.8239,0.000689
43,0.0707,0.7265,0.8265,0.868,0.8093,0.8668,0.8265,0.000673
44,0.0698,0.7115,0.8189,0.8567,0.7816,0.8857,0.8189,0.000658
45,0.068,0.7244,0.8264,0.8687,0.8377,0.8367,0.8264,0.000642
46,0.0678,0.6888,0.7952,0.8472,0.8263,0.8071,0.7952,0.000627
47,0.0699,0.6942,0.8061,0.8429,0.7511,0.8987,0.8061,0.000611
48,0.0668,0.7036,0.8107,0.8563,0.8249,0.8255,0.8107,0.000595
49,0.0657,0.6722,0.7895,0.8274,0.7756,0.8437,0.7895,0.000578
50,0.0679,0.7206,0.8226,0.8694,0.8263,0.843,0.8226,0.000562
51,0.0679,0.7171,0.8222,0.8609,0.7862,0.8881,0.8222,0.000546
52,0.0685,0.7285,0.8294,0.8677,0.7878,0.8962,0.8294,0.00053
53,0.065,0.687,0.7979,0.8453,0.8035,0.8256,0.7979,0.000513
54,0.0644,0.7219,0.8261,0.868,0.8067,0.8691,0.8261,0.000497
55,0.063,0.7308,0.8317,0.8719,0.8065,0.8785,0.8317,0.00048
56,0.064,0.7317,0.8314,0.8784,0.8429,0.8379,0.8314,0.000464
57,0.062,0.6964,0.8042,0.8536,0.811,0.8311,0.8042,0.000448
58,0.0601,0.705,0.813,0.8552,0.7944,0.8607,0.813,0.000432
59,0.0606,0.7218,0.8243,0.8723,0.8373,0.8315,0.8243,0.000415
60,0.0597,0.7169,0.822,0.8652,0.8097,0.8556,0.822,0.000399
61,0.0628,0.7372,0.8358,0.8781,0.8076,0.8817,0.8358,0.000383
62,0.061,0.725,0.8269,0.8688,0.7964,0.8829,0.8269,0.000368
63,0.059,0.728,0.829,0.8707,0.8,0.8802,0.829,0.000352
64,0.0589,0.7309,0.8311,0.8729,0.8097,0.8756,0.8311,0.000337
65,0.0587,0.7368,0.8351,0.878,0.8159,0.8736,0.8351,0.000321
66,0.0592,0.6845,0.7985,0.8365,0.7622,0.8714,0.7985,0.000306
67,0.0591,0.7067,0.8147,0.8562,0.7725,0.8882,0.8147,0.000291
68,0.0573,0.7289,0.83,0.8733,0.8058,0.8751,0.83,0.000277
69,0.0564,0.707,0.8133,0.8555,0.7692,0.8943,0.8133,0.000262
70,0.0569,0.7143,0.8189,0.8638,0.8027,0.8643,0.8189,0.000248
71,0.0579,0.7193,0.8229,0.8649,0.7878,0.8869,0.8229,0.000234
72,0.0569,0.7133,0.818,0.8651,0.8033,0.8597,0.818,0.000221
73,0.0555,0.7232,0.8261,0.8658,0.7833,0.8968,0.8261,0.000207
74,0.0555,0.724,0.8267,0.8665,0.7828,0.8984,0.8267,0.000195
75,0.0553,0.7081,0.8173,0.8567,0.7947,0.8656,0.8173,0.000182
76,0.0551,0.7293,0.8308,0.8714,0.7948,0.8892,0.8308,0.00017
77,0.0545,0.7213,0.8249,0.8655,0.7812,0.8961,0.8249,0.000158
78,0.0537,0.7306,0.8312,0.8725,0.7953,0.8889,0.8312,0.000146
79,0.0536,0.7229,0.8262,0.8678,0.793,0.8845,0.8262,0.000135
80,0.0535,0.7273,0.8293,0.8698,0.7933,0.8886,0.8293,0.000125
81,0.0524,0.7234,0.8267,0.8686,0.8006,0.8753,0.8267,0.000114
82,0.0531,0.7193,0.8237,0.8651,0.7936,0.8786,0.8237,0.000105
83,0.0532,0.7146,0.8213,0.8606,0.7894,0.8778,0.8213,9.5e-05
84,0.0526,0.7206,0.8251,0.8672,0.797,0.8757,0.8251,8.6e-05
85,0.0518,0.7182,0.8232,0.8641,0.7826,0.8895,0.8232,7.8e-05
86,0.0528,0.7265,0.8287,0.87,0.7922,0.8875,0.8287,7e-05
87,0.0523,0.7112,0.8181,0.8623,0.8007,0.8596,0.8181,6.2e-05
