epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2807,0.5042,0.6494,0.7184,0.6433,0.7191,0.6494,0.0002
2,0.2343,0.6418,0.7655,0.7975,0.6802,0.9152,0.7655,0.0004
3,0.224,0.6446,0.7686,0.7997,0.6861,0.9187,0.7686,0.0006
4,0.2072,0.6557,0.7779,0.8139,0.713,0.898,0.7779,0.0008
5,0.197,0.693,0.8022,0.8548,0.8005,0.8271,0.8022,0.001
6,0.1837,0.6643,0.7837,0.8206,0.7216,0.8983,0.7837,0.001
7,0.1635,0.6638,0.7768,0.8247,0.718,0.8864,0.7768,0.001
8,0.1631,0.6188,0.7428,0.7577,0.6476,0.9356,0.7428,0.000999
9,0.1523,0.7198,0.8236,0.868,0.808,0.8638,0.8236,0.000998
10,0.1359,0.7282,0.8302,0.873,0.8071,0.8753,0.8302,0.000996
11,0.132,0.7294,0.8313,0.8763,0.8234,0.8555,0.8313,0.000993
12,0.1289,0.6934,0.7955,0.87,0.9122,0.7384,0.7955,0.00099
13,0.1332,0.6879,0.795,0.8632,0.8623,0.7723,0.795,0.000987
14,0.121,0.7284,0.8285,0.8759,0.858,0.8223,0.8285,0.000983
15,0.1098,0.7286,0.8285,0.8745,0.8388,0.8407,0.8285,0.000978
16,0.1179,0.6193,0.7496,0.817,0.8555,0.6911,0.7496,0.000973
17,0.1066,0.7252,0.8249,0.8721,0.863,0.816,0.8249,0.000968
18,0.1047,0.661,0.7705,0.8399,0.8767,0.7307,0.7705,0.000962
19,0.1047,0.6651,0.7824,0.8212,0.7705,0.8379,0.7824,0.000955
20,0.1021,0.6721,0.7755,0.8408,0.8537,0.7626,0.7755,0.000948
21,0.1126,0.6729,0.7872,0.8313,0.7959,0.8166,0.7872,0.00094
22,0.1056,0.6554,0.7666,0.8389,0.8376,0.7508,0.7666,0.000932
23,0.1007,0.7087,0.8155,0.8576,0.8023,0.8595,0.8155,0.000924
24,0.0908,0.6703,0.7888,0.8239,0.7408,0.8815,0.7888,0.000915
25,0.0927,0.6426,0.7516,0.8151,0.8269,0.745,0.7516,0.000905
26,0.0846,0.6845,0.7899,0.8404,0.8613,0.7642,0.7899,0.000896
27,0.09,0.5952,0.7139,0.8005,0.7927,0.714,0.7139,0.000885
28,0.0944,0.7283,0.8302,0.8723,0.8112,0.8675,0.8302,0.000875
29,0.0883,0.6936,0.8038,0.8486,0.8179,0.8236,0.8038,0.000864
30,0.0837,0.7055,0.8161,0.8454,0.7668,0.8953,0.8161,0.000852
31,0.086,0.7149,0.8209,0.8605,0.8105,0.8545,0.8209,0.00084
32,0.0804,0.7159,0.8209,0.861,0.8264,0.8408,0.8209,0.000828
33,0.0777,0.6886,0.8023,0.8414,0.782,0.8563,0.8023,0.000815
34,0.0788,0.682,0.7953,0.838,0.8028,0.8218,0.7953,0.000803
35,0.0736,0.7088,0.8142,0.8604,0.8593,0.7974,0.8142,0.000789
36,0.0754,0.7128,0.8186,0.8575,0.8237,0.837,0.8186,0.000776
37,0.0741,0.7356,0.8358,0.8728,0.8204,0.869,0.8358,0.000762
38,0.0851,0.6558,0.777,0.802,0.6834,0.9404,0.777,0.000748
39,0.0828,0.6737,0.7904,0.8322,0.7871,0.8324,0.7904,0.000733
40,0.0753,0.7297,0.8332,0.867,0.8339,0.8479,0.8332,0.000719
41,0.0751,0.6801,0.7937,0.8315,0.7627,0.8644,0.7937,0.000704
42,0.0797,0.6845,0.7927,0.8392,0.8247,0.8021,0.7927,0.000689
43,0.0748,0.6781,0.7888,0.8331,0.813,0.8034,0.7888,0.000673
44,0.0721,0.6845,0.7952,0.837,0.8095,0.815,0.7952,0.000658
45,0.0702,0.6717,0.7827,0.8311,0.823,0.784,0.7827,0.000642
46,0.0679,0.6948,0.8043,0.8479,0.8257,0.8121,0.8043,0.000627
47,0.0673,0.7052,0.8146,0.85,0.8046,0.8481,0.8146,0.000611
48,0.0658,0.7155,0.8228,0.857,0.8084,0.858,0.8228,0.000595
49,0.0677,0.6972,0.8083,0.8467,0.8067,0.836,0.8083,0.000578
50,0.0679,0.6959,0.8056,0.8535,0.8451,0.7914,0.8056,0.000562
51,0.0697,0.6901,0.8011,0.8403,0.8104,0.823,0.8011,0.000546
52,0.0682,0.6772,0.7939,0.8336,0.7896,0.831,0.7939,0.00053
53,0.0648,0.7056,0.8164,0.8492,0.7778,0.8817,0.8164,0.000513
54,0.067,0.6846,0.7988,0.8359,0.7693,0.8636,0.7988,0.000497
55,0.0663,0.6846,0.7971,0.8386,0.819,0.8066,0.7971,0.00048
56,0.0648,0.712,0.8192,0.8604,0.836,0.8236,0.8192,0.000464
57,0.0641,0.6816,0.7974,0.8349,0.7873,0.84,0.7974,0.000448
58,0.0618,0.7214,0.8273,0.8642,0.8147,0.8573,0.8273,0.000432
59,0.0617,0.674,0.785,0.8354,0.8392,0.7741,0.785,0.000415
60,0.0597,0.6927,0.8033,0.8458,0.83,0.8067,0.8033,0.000399
61,0.0612,0.6171,0.7352,0.7991,0.7922,0.7523,0.7352,0.000383
62,0.0641,0.6795,0.796,0.8363,0.7749,0.8513,0.796,0.000368
63,0.0599,0.7199,0.8262,0.8635,0.7871,0.8879,0.8262,0.000352
64,0.0589,0.6853,0.8001,0.8385,0.7988,0.8294,0.8001,0.000337
65,0.0602,0.6856,0.7981,0.8416,0.8207,0.8073,0.7981,0.000321
66,0.0607,0.692,0.8066,0.8422,0.7752,0.8676,0.8066,0.000306
67,0.0597,0.7048,0.815,0.851,0.7667,0.8922,0.815,0.000291
68,0.0582,0.7227,0.8272,0.869,0.8146,0.8592,0.8272,0.000277
69,0.057,0.6887,0.8042,0.8391,0.7533,0.8895,0.8042,0.000262
70,0.0567,0.7123,0.8208,0.8581,0.7864,0.8794,0.8208,0.000248
71,0.056,0.7016,0.8133,0.8491,0.7862,0.8652,0.8133,0.000234
72,0.0555,0.7083,0.8173,0.8544,0.7708,0.8924,0.8173,0.000221
73,0.0551,0.705,0.8157,0.8531,0.78,0.8768,0.8157,0.000207
74,0.0546,0.7189,0.8245,0.8639,0.7933,0.8781,0.8245,0.000195
75,0.0543,0.7253,0.8291,0.8693,0.8154,0.8605,0.8291,0.000182
76,0.0555,0.7068,0.8165,0.8555,0.7938,0.8606,0.8165,0.00017
77,0.0547,0.6992,0.81,0.8487,0.7532,0.9015,0.81,0.000158
78,0.055,0.709,0.8178,0.8557,0.7779,0.8831,0.8178,0.000146
79,0.0547,0.7101,0.8186,0.8575,0.7815,0.8793,0.8186,0.000135
80,0.0528,0.71,0.8188,0.8569,0.7833,0.8785,0.8188,0.000125
81,0.0536,0.7166,0.8233,0.8623,0.7951,0.8725,0.8233,0.000114
82,0.0554,0.6916,0.8051,0.8414,0.7442,0.903,0.8051,0.000105
83,0.0541,0.6901,0.8049,0.842,0.7678,0.8715,0.8049,9.5e-05
84,0.0532,0.7054,0.8159,0.8537,0.7813,0.8748,0.8159,8.6e-05
85,0.0536,0.7084,0.8173,0.8574,0.7836,0.8752,0.8173,7.8e-05
86,0.0526,0.7104,0.8191,0.8581,0.7879,0.8736,0.8191,7e-05
87,0.0525,0.6991,0.8106,0.8496,0.757,0.8959,0.8106,6.2e-05
