epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.3059,0.4976,0.6378,0.588,0.5049,0.9689,0.6378,4e-05
2,0.2579,0.5328,0.6682,0.6538,0.5481,0.9439,0.6682,8e-05
3,0.244,0.5369,0.6713,0.659,0.553,0.9434,0.6713,0.00012
4,0.2297,0.6469,0.7692,0.8024,0.7059,0.8864,0.7692,0.00016
5,0.2126,0.676,0.7939,0.8326,0.7502,0.8728,0.7939,0.0002
6,0.1986,0.7095,0.8178,0.8592,0.7792,0.8767,0.8178,0.0002
7,0.1872,0.7132,0.8204,0.8543,0.7562,0.9178,0.8204,0.0002
8,0.1757,0.7119,0.8183,0.8557,0.7783,0.8904,0.8183,0.0002
9,0.1686,0.7232,0.8277,0.8663,0.8148,0.861,0.8277,0.000199
10,0.1558,0.7077,0.8177,0.8496,0.7553,0.9128,0.8177,0.000199
11,0.1584,0.7179,0.8179,0.8633,0.8274,0.8433,0.8179,0.000198
12,0.1463,0.7088,0.8166,0.8527,0.7868,0.8753,0.8166,0.000197
13,0.1406,0.7278,0.8285,0.8683,0.8147,0.8674,0.8285,0.000196
14,0.1339,0.7383,0.8363,0.8754,0.8369,0.8545,0.8363,0.000194
15,0.1284,0.7255,0.8255,0.8664,0.8282,0.8507,0.8255,0.000193
16,0.1204,0.7309,0.8312,0.8677,0.8497,0.8345,0.8312,0.000191
17,0.1189,0.7235,0.8253,0.8691,0.8911,0.7861,0.8253,0.00019
18,0.1191,0.718,0.8222,0.859,0.8162,0.8564,0.8222,0.000188
19,0.1123,0.7395,0.8382,0.8765,0.8275,0.8693,0.8382,0.000186
20,0.1072,0.7008,0.8055,0.8554,0.8596,0.7892,0.8055,0.000183
21,0.1054,0.6995,0.8072,0.8515,0.8349,0.8125,0.8072,0.000181
22,0.1042,0.7098,0.8111,0.8629,0.8736,0.7818,0.8111,0.000179
23,0.0991,0.7214,0.8253,0.8603,0.8012,0.8726,0.8253,0.000176
24,0.0989,0.7493,0.8435,0.8809,0.8459,0.8579,0.8435,0.000173
25,0.0994,0.7501,0.8454,0.8824,0.8227,0.8835,0.8454,0.00017
26,0.0961,0.7599,0.8517,0.8872,0.8239,0.8924,0.8517,0.000167
27,0.0903,0.7384,0.8376,0.8751,0.8508,0.8397,0.8376,0.000164
28,0.0863,0.7212,0.8212,0.8646,0.8647,0.8069,0.8212,0.000161
29,0.0851,0.7131,0.8124,0.862,0.8726,0.7878,0.8124,0.000158
30,0.0846,0.7528,0.8448,0.8828,0.8252,0.8843,0.8448,0.000154
31,0.0838,0.7253,0.8232,0.8676,0.8778,0.7967,0.8232,0.000151
32,0.0824,0.7084,0.8098,0.8603,0.8742,0.7825,0.8098,0.000147
33,0.0833,0.7143,0.8166,0.8569,0.8161,0.8467,0.8166,0.000143
34,0.078,0.7316,0.8284,0.8701,0.8564,0.8254,0.8284,0.000139
35,0.0768,0.7398,0.8372,0.8767,0.8437,0.8481,0.8372,0.000136
36,0.0784,0.7593,0.8508,0.8881,0.8453,0.8715,0.8508,0.000132
37,0.074,0.731,0.8307,0.8691,0.8514,0.8299,0.8307,0.000128
38,0.0716,0.7008,0.8026,0.8546,0.8463,0.7994,0.8026,0.000124
39,0.071,0.7174,0.822,0.8616,0.8355,0.8312,0.822,0.00012
40,0.0706,0.7196,0.8215,0.8644,0.8503,0.8184,0.8215,0.000115
41,0.0729,0.7351,0.832,0.8723,0.848,0.8391,0.832,0.000111
42,0.071,0.7082,0.8109,0.8585,0.8441,0.8075,0.8109,0.000107
43,0.0676,0.7217,0.8227,0.8645,0.8442,0.8233,0.8227,0.000103
44,0.0676,0.725,0.8257,0.8667,0.853,0.8214,0.8257,9.9e-05
45,0.0678,0.7175,0.8191,0.865,0.8489,0.8135,0.8191,9.5e-05
46,0.0668,0.7431,0.8388,0.8806,0.858,0.8371,0.8388,9.1e-05
47,0.0671,0.7314,0.8317,0.8709,0.8386,0.8424,0.8317,8.7e-05
48,0.0643,0.7118,0.8146,0.86,0.8599,0.7987,0.8146,8.2e-05
49,0.0639,0.7158,0.8197,0.8638,0.8542,0.8101,0.8197,7.8e-05
50,0.0625,0.7111,0.8157,0.8587,0.8371,0.8196,0.8157,7.4e-05
51,0.0625,0.7135,0.8172,0.8611,0.8537,0.8059,0.8172,7e-05
52,0.0647,0.7042,0.8092,0.8555,0.8448,0.8014,0.8092,6.6e-05
53,0.0609,0.7046,0.8101,0.8551,0.8402,0.8087,0.8101,6.3e-05
54,0.0603,0.6951,0.8013,0.8519,0.8556,0.7813,0.8013,5.9e-05
55,0.0605,0.7299,0.8303,0.8697,0.8403,0.8376,0.8303,5.5e-05
56,0.0605,0.7046,0.8103,0.8542,0.8408,0.8069,0.8103,5.1e-05
57,0.0585,0.7159,0.8194,0.8628,0.8525,0.8094,0.8194,4.8e-05
58,0.0582,0.7277,0.829,0.8697,0.849,0.8276,0.829,4.4e-05
59,0.0588,0.7226,0.8244,0.8673,0.8531,0.8167,0.8244,4.1e-05
60,0.0569,0.7309,0.8299,0.8725,0.8569,0.8225,0.8299,3.8e-05
61,0.0586,0.7303,0.83,0.8724,0.8489,0.831,0.83,3.5e-05
62,0.0589,0.7161,0.8183,0.8637,0.8648,0.7979,0.8183,3.2e-05
63,0.0564,0.7185,0.8209,0.8637,0.8541,0.8106,0.8209,2.9e-05
64,0.0582,0.7094,0.8138,0.8595,0.8582,0.7967,0.8138,2.6e-05
65,0.0571,0.7093,0.8141,0.8588,0.8521,0.8023,0.8141,2.3e-05
66,0.0557,0.7081,0.8129,0.8582,0.8568,0.7967,0.8129,2.1e-05
67,0.0556,0.7087,0.8136,0.8597,0.8649,0.7902,0.8136,1.9e-05
68,0.0563,0.7161,0.8196,0.8626,0.8544,0.8076,0.8196,1.6e-05
69,0.0553,0.7239,0.8269,0.8669,0.8422,0.8291,0.8269,1.4e-05
70,0.0577,0.7189,0.823,0.8646,0.8465,0.819,0.823,1.2e-05
71,0.0575,0.7003,0.8072,0.8532,0.8532,0.791,0.8072,1.1e-05
72,0.0551,0.7096,0.8148,0.8593,0.8523,0.8025,0.8148,9e-06
73,0.0545,0.711,0.8153,0.8593,0.8546,0.8017,0.8153,8e-06
74,0.0546,0.7172,0.8208,0.8625,0.8495,0.814,0.8208,6e-06
75,0.055,0.7173,0.8213,0.8624,0.8439,0.8196,0.8213,5e-06
76,0.0556,0.7146,0.8187,0.8617,0.8472,0.8127,0.8187,4e-06
77,0.0555,0.7167,0.8209,0.8636,0.8498,0.8127,0.8209,3e-06
78,0.0545,0.7135,0.8173,0.8615,0.8535,0.8057,0.8173,3e-06
79,0.0544,0.7146,0.818,0.8623,0.86,0.8011,0.818,2e-06
80,0.0545,0.719,0.8224,0.864,0.8451,0.8202,0.8224,2e-06
