epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2976,0.5476,0.6787,0.6844,0.5692,0.9242,0.6787,4e-05
2,0.258,0.5683,0.6965,0.7183,0.5997,0.9081,0.6965,8e-05
3,0.2468,0.5922,0.722,0.7504,0.6435,0.8939,0.722,0.00012
4,0.2309,0.6253,0.75,0.8097,0.7669,0.7874,0.75,0.00016
5,0.2177,0.6444,0.762,0.8267,0.7985,0.7755,0.762,0.0002
6,0.2034,0.7161,0.8231,0.8552,0.7864,0.8864,0.8231,0.0002
7,0.1881,0.7346,0.8348,0.8759,0.8558,0.8309,0.8348,0.0002
8,0.1786,0.7048,0.8106,0.8565,0.8339,0.8143,0.8106,0.0002
9,0.168,0.7455,0.8417,0.8808,0.8641,0.8354,0.8417,0.000199
10,0.1617,0.761,0.8524,0.89,0.8421,0.8736,0.8524,0.000199
11,0.1556,0.7364,0.836,0.8782,0.8571,0.8259,0.836,0.000198
12,0.1511,0.6953,0.8023,0.8583,0.8679,0.7762,0.8023,0.000197
13,0.1441,0.7138,0.8187,0.8634,0.8822,0.784,0.8187,0.000196
14,0.1357,0.7354,0.8336,0.8761,0.8695,0.8191,0.8336,0.000194
15,0.1317,0.7521,0.8469,0.8873,0.8709,0.8365,0.8469,0.000193
16,0.1278,0.7343,0.8329,0.886,0.8956,0.7942,0.8329,0.000191
17,0.121,0.7034,0.8081,0.8504,0.8232,0.8281,0.8081,0.00019
18,0.124,0.7294,0.8295,0.8666,0.8395,0.8412,0.8295,0.000188
19,0.1182,0.6917,0.7971,0.8441,0.8425,0.791,0.7971,0.000186
20,0.1143,0.7518,0.8461,0.8855,0.8373,0.8722,0.8461,0.000183
21,0.107,0.7083,0.8132,0.8576,0.833,0.8249,0.8132,0.000181
22,0.106,0.7288,0.831,0.869,0.8288,0.8538,0.831,0.000179
23,0.102,0.7155,0.8184,0.8638,0.862,0.8037,0.8184,0.000176
24,0.0996,0.7141,0.8165,0.8637,0.8657,0.7973,0.8165,0.000173
25,0.0956,0.7161,0.8202,0.8636,0.8648,0.803,0.8202,0.00017
26,0.0908,0.7041,0.8077,0.8575,0.8688,0.783,0.8077,0.000167
27,0.0932,0.7314,0.8316,0.871,0.8188,0.8686,0.8316,0.000164
28,0.0879,0.7358,0.8343,0.8762,0.8436,0.8444,0.8343,0.000161
29,0.0873,0.7112,0.8144,0.8631,0.8571,0.8006,0.8144,0.000158
