epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2101,0.5987,0.7173,0.813,0.7356,0.7334,0.7173,0.0001
2,0.1637,0.7366,0.8382,0.8727,0.8001,0.893,0.8382,0.0002
3,0.1451,0.7493,0.8431,0.8857,0.8662,0.8405,0.8431,0.0003
4,0.1418,0.7454,0.8422,0.8843,0.8315,0.8655,0.8422,0.0004
5,0.131,0.7408,0.8389,0.882,0.8698,0.8251,0.8389,0.0005
6,0.1228,0.7255,0.8269,0.8754,0.8767,0.8094,0.8269,0.0005
7,0.1183,0.624,0.7544,0.8068,0.7538,0.7842,0.7544,0.000499
8,0.1265,0.7285,0.8294,0.8739,0.8593,0.8238,0.8294,0.000496
9,0.1041,0.4695,0.5969,0.7607,0.9016,0.4975,0.5969,0.000491
10,0.0977,0.7336,0.8322,0.8724,0.8346,0.8563,0.8322,0.000484
11,0.0908,0.7362,0.8297,0.8851,0.8694,0.8205,0.8297,0.000475
12,0.0857,0.681,0.789,0.839,0.7958,0.8105,0.789,0.000465
13,0.0895,0.6543,0.7687,0.8354,0.8432,0.7534,0.7687,0.000453
14,0.0842,0.7525,0.844,0.8903,0.8935,0.8195,0.844,0.000439
15,0.083,0.6651,0.7732,0.8622,0.9264,0.7015,0.7732,0.000424
16,0.0803,0.721,0.8202,0.874,0.8799,0.7903,0.8202,0.000407
17,0.0786,0.609,0.7292,0.8109,0.8732,0.6752,0.7292,0.000389
18,0.0806,0.7428,0.8352,0.8821,0.86,0.8356,0.8352,0.00037
19,0.0729,0.7496,0.8462,0.8774,0.8018,0.9071,0.8462,0.00035
20,0.0674,0.7687,0.8563,0.8952,0.8778,0.8506,0.8563,0.000329
21,0.0644,0.6818,0.7984,0.8247,0.7085,0.9441,0.7984,0.000308
22,0.0715,0.7217,0.8198,0.8797,0.8989,0.7823,0.8198,0.000286
