epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
77,0.0544,0.7284,0.8306,0.8727,0.8023,0.8765,0.8306,0.000158
78,0.0543,0.7196,0.8249,0.8652,0.7851,0.8866,0.8249,0.000146
79,0.0557,0.7183,0.8242,0.864,0.7932,0.8759,0.8242,0.000135
80,0.0549,0.7266,0.8311,0.8706,0.8201,0.8569,0.8311,0.000125
81,0.0539,0.7077,0.8179,0.8564,0.8036,0.8521,0.8179,0.000114
82,0.0535,0.7222,0.8275,0.8672,0.8102,0.862,0.8275,0.000105
83,0.054,0.7213,0.8264,0.8669,0.8073,0.8638,0.8264,9.5e-05
84,0.053,0.7262,0.8296,0.8702,0.8019,0.8757,0.8296,8.6e-05
85,0.0536,0.7265,0.8295,0.8721,0.8121,0.8625,0.8295,7.8e-05
86,0.0531,0.7289,0.8321,0.8711,0.806,0.8754,0.8321,7e-05
87,0.0522,0.7253,0.8287,0.8701,0.8002,0.8764,0.8287,6.2e-05
88,0.053,0.7245,0.828,0.8695,0.7949,0.8798,0.828,5.5e-05
89,0.0521,0.7093,0.8187,0.8574,0.8061,0.8508,0.8187,4.8e-05
90,0.0529,0.72,0.8255,0.8667,0.8085,0.8601,0.8255,4.2e-05
91,0.0531,0.7218,0.8265,0.8671,0.7987,0.8734,0.8265,3.7e-05
92,0.0527,0.7232,0.8279,0.8685,0.8084,0.8638,0.8279,3.2e-05
93,0.0521,0.7183,0.8245,0.8654,0.8101,0.8559,0.8245,2.7e-05
94,0.0521,0.7193,0.8252,0.8648,0.8024,0.8668,0.8252,2.3e-05
95,0.0515,0.7182,0.8246,0.8637,0.7999,0.8684,0.8246,2e-05
96,0.0528,0.7238,0.8278,0.8694,0.8029,0.87,0.8278,1.7e-05
97,0.0514,0.7198,0.8251,0.8655,0.7972,0.8724,0.8251,1.4e-05
98,0.052,0.725,0.8296,0.8684,0.8096,0.8663,0.8296,1.2e-05
99,0.0518,0.7283,0.8311,0.8725,0.8102,0.8683,0.8311,1.1e-05
100,0.0516,0.7292,0.832,0.8724,0.8131,0.8668,0.832,1e-05
