epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2089,0.4585,0.5831,0.7705,0.884,0.4931,0.5831,0.0002
2,0.1709,0.6675,0.7762,0.8427,0.7588,0.8327,0.7762,0.0004
3,0.1667,0.6274,0.7478,0.7883,0.68,0.8939,0.7478,0.0006
4,0.1648,0.6685,0.7816,0.8265,0.7352,0.875,0.7816,0.0008
5,0.1514,0.5964,0.7202,0.7964,0.7283,0.7734,0.7202,0.001
6,0.1478,0.6726,0.7887,0.8364,0.7662,0.841,0.7887,0.001
7,0.1411,0.5593,0.6969,0.7,0.5803,0.9428,0.6969,0.001
8,0.1414,0.6797,0.7847,0.8565,0.7902,0.8226,0.7847,0.000999
9,0.127,0.6803,0.7943,0.8522,0.822,0.7979,0.7943,0.000998
10,0.1255,0.6502,0.7691,0.8201,0.7384,0.8407,0.7691,0.000996
11,0.1186,0.4715,0.5972,0.7658,0.9017,0.4957,0.5972,0.000993
12,0.1122,0.5953,0.7146,0.8015,0.7843,0.6983,0.7146,0.00099
13,0.1014,0.6431,0.7623,0.8064,0.71,0.8758,0.7623,0.000987
14,0.0957,0.663,0.7687,0.8547,0.9006,0.7188,0.7687,0.000983
15,0.0976,0.6953,0.7988,0.8625,0.8503,0.7869,0.7988,0.000978
16,0.0962,0.7033,0.8044,0.8593,0.8483,0.8015,0.8044,0.000973
17,0.1029,0.5931,0.7045,0.8337,0.8961,0.631,0.7045,0.000968
18,0.0962,0.72,0.8249,0.8693,0.8053,0.8655,0.8249,0.000962
19,0.0863,0.715,0.8176,0.8605,0.7921,0.8777,0.8176,0.000955
20,0.0763,0.7263,0.8281,0.8701,0.81,0.8693,0.8281,0.000948
21,0.0721,0.6944,0.8058,0.8446,0.8178,0.8246,0.8058,0.00094
22,0.071,0.6967,0.8037,0.8497,0.8316,0.8126,0.8037,0.000932
23,0.079,0.5982,0.7149,0.8089,0.874,0.6581,0.7149,0.000924
24,0.0919,0.653,0.7703,0.8147,0.7456,0.8266,0.7703,0.000915
25,0.0795,0.7254,0.8244,0.8713,0.8202,0.8509,0.8244,0.000905
26,0.0715,0.6698,0.7821,0.8359,0.8018,0.7929,0.7821,0.000896
27,0.0703,0.6613,0.7798,0.814,0.7131,0.8953,0.7798,0.000885
28,0.0677,0.6836,0.7899,0.8473,0.8363,0.7816,0.7899,0.000875
29,0.0608,0.7161,0.8195,0.8607,0.8203,0.8429,0.8195,0.000864
30,0.0584,0.7058,0.809,0.8555,0.8392,0.8099,0.809,0.000852
31,0.0577,0.7446,0.8389,0.8831,0.8463,0.852,0.8389,0.00084
32,0.0554,0.6884,0.7931,0.8437,0.8671,0.7725,0.7931,0.000828
33,0.0558,0.674,0.7816,0.8492,0.8793,0.7383,0.7816,0.000815
34,0.0571,0.699,0.8103,0.849,0.7774,0.8697,0.8103,0.000803
35,0.0526,0.7143,0.8167,0.8687,0.859,0.8048,0.8167,0.000789
36,0.0502,0.7226,0.8241,0.8689,0.8552,0.817,0.8241,0.000776
37,0.0484,0.7191,0.8217,0.8667,0.848,0.8209,0.8217,0.000762
38,0.0469,0.7163,0.8238,0.8577,0.7837,0.8832,0.8238,0.000748
39,0.0454,0.7254,0.8304,0.8657,0.8011,0.8755,0.8304,0.000733
40,0.0449,0.7123,0.82,0.8586,0.8088,0.8484,0.82,0.000719
41,0.0428,0.729,0.8293,0.8745,0.8122,0.8646,0.8293,0.000704
42,0.0406,0.724,0.8244,0.8689,0.8461,0.825,0.8244,0.000689
43,0.0409,0.7187,0.8233,0.862,0.8179,0.8497,0.8233,0.000673
44,0.0398,0.7136,0.8183,0.859,0.8184,0.8426,0.8183,0.000658
45,0.0381,0.7373,0.8326,0.8818,0.8612,0.8283,0.8326,0.000642
46,0.0361,0.7377,0.8343,0.8811,0.8372,0.8499,0.8343,0.000627
47,0.0349,0.6987,0.8053,0.856,0.8418,0.802,0.8053,0.000611
48,0.0344,0.7335,0.8326,0.8749,0.823,0.86,0.8326,0.000595
49,0.0329,0.715,0.817,0.8639,0.8388,0.8234,0.817,0.000578
50,0.0317,0.7159,0.8213,0.8622,0.7876,0.8755,0.8213,0.000562
51,0.0316,0.7254,0.8259,0.8705,0.8235,0.849,0.8259,0.000546
52,0.0291,0.7062,0.8101,0.8578,0.8397,0.8113,0.8101,0.00053
53,0.0295,0.731,0.8307,0.8746,0.8445,0.8354,0.8307,0.000513
54,0.0281,0.7233,0.8263,0.8675,0.8399,0.8317,0.8263,0.000497
55,0.0274,0.7216,0.8218,0.8706,0.8683,0.8032,0.8218,0.00048
56,0.0257,0.7244,0.827,0.8674,0.8137,0.86,0.827,0.000464
57,0.0246,0.7168,0.8202,0.8632,0.8354,0.8294,0.8202,0.000448
58,0.024,0.7293,0.8309,0.8709,0.8208,0.8582,0.8309,0.000432
59,0.024,0.7168,0.8219,0.8623,0.8112,0.8544,0.8219,0.000415
60,0.0224,0.7215,0.8247,0.8666,0.8269,0.8433,0.8247,0.000399
61,0.0219,0.7182,0.8214,0.8654,0.8306,0.8345,0.8214,0.000383
62,0.0217,0.7233,0.8251,0.8689,0.8264,0.8455,0.8251,0.000368
63,0.0212,0.7181,0.8219,0.864,0.8179,0.8479,0.8219,0.000352
64,0.0206,0.7241,0.8253,0.8698,0.8317,0.8412,0.8253,0.000337
65,0.0196,0.7235,0.8245,0.8684,0.8347,0.8381,0.8245,0.000321
66,0.0191,0.7232,0.8262,0.8686,0.8132,0.858,0.8262,0.000306
67,0.0196,0.7129,0.8172,0.861,0.8275,0.831,0.8172,0.000291
68,0.0183,0.7279,0.8289,0.8721,0.8288,0.847,0.8289,0.000277
69,0.018,0.7206,0.8239,0.8664,0.8325,0.8361,0.8239,0.000262
70,0.0173,0.7253,0.8265,0.8705,0.838,0.8358,0.8265,0.000248
71,0.0171,0.7256,0.8275,0.8708,0.83,0.8435,0.8275,0.000234
72,0.0169,0.7289,0.8301,0.8724,0.8273,0.8501,0.8301,0.000221
73,0.0161,0.7249,0.8276,0.8689,0.8242,0.8492,0.8276,0.000207
74,0.0158,0.7238,0.8262,0.8683,0.8287,0.8442,0.8262,0.000195
